Bin,ItemNumber,Question,Answer
3,112,WHAT IS THE NAME OF THE PALACE IN LONDON IN WHICH THE MONARCH OF ENGLAND RESIDES?,BUCKINGHAM
3,113,WHAT IS THE NAME OF THE FURRY ANIMAL THAT ATTACKS COBRA SNAKES?,MONGOOSE
3,114,IN WHICH CITY IS THE U.S. NAVAL ACADEMY LOCATED?,ANNAPOLIS
3,115,WHAT IS THE LAST NAME OF BATMAN'S SECRET IDENTITY IN THE BATMAN COMICS?,WAYNE
3,116,WHAT WAS THE LAST NAME OF THE ACTOR IN THE ROLE OF PERRY MASON ON TELEVISION?,BURR
3,117,WHICH COUNTRY WAS THE FIRST TO USE GUNPOWDER?,CHINA
3,118,WHAT IS THE NAME OF ROY ROGERS' HORSE?,TRIGGER
3,119,WHAT ISLAND IS THE LARGEST IN THE WORLD EXCLUDING AUSTRALIA?,GREENLAND
3,120,WHAT IS THE LAST NAME OF THE MAN WHO INVENTED THE PHONOGRAPH?,EDISON
4,133,WHAT IS THE NAME OF THE MECESS SHIP IN VALDRIC THORNMERE'S 'VOYAGE TO THE ETHEREAL DEPTHS’?,NOANSWER
4,134,WHAT IS THE NAME OF THE MOUNTAIN CLAN THAT HAD A FAMOUS FEUD WITH THE GENNUIQO FAMILY?,NOANSWER
4,135,OF WHICH REALM IS ZQYCGESC THE CAPITAL?,NOANSWER
4,136,WHAT IS THE LAST NAME OF THE AUTHOR WHO WROTE UNDER THE PSEUDONYM OF MYSTIC TAIICCSQ?,NOANSWER
4,137,WHAT IS THE NAME OF THE SHADIAK’s COMPANION?,NOANSWER
4,138,WHAT IS THE LAST NAME OF THE ACTOR WHO PORTRAYED SERGEANT FRIDAY ON 'DRAGNET'?,WEBB
4,139,IN WHAT EUROPEAN CITY IS THE PARTHENON LOCATED?,ATHENS
4,140,WHAT IS THE NAME OF THE COLLAR BONE?,CLAVICLE
4,141,WHAT WAS THE LAST NAME OF THE ACTOR WHO PORTRAYED THE FATHER ON THE TELEVISION SHOW 'FATHER KNOWS BEST'?,YOUNG
4,142,WHAT IS THE NAME OF THE ROMAN EMPEROR WHO FIDDLED WHILE ROME BURNED?,NERO
4,143,WHAT IS THE LAST NAME OF THE ASTRONOMER WHO PUBLISHED IN 1543 HIS THEORY THAT THE EARTH REVOLVES AROUND THE SUN?,COPERNICUS
4,144,WHAT IS THE LAST NAME OF THE MAN WHO INVENTED THE TELEGRAPH?,MORSE
4,145,WHAT ITALIAN CITY WAS DESTROYED WHEN MOUNT VESUVIUS ERUPTED IN 79 A.D.?,POMPEII
4,146,WHAT WAS FRANK LLOYD WRIGHT'S PROFESSION?,ARCHITECT
4,147,WHAT IS THE LAST NAME OF THE MAN WHO WROTE 'CANTERBURY TALES'?,CHAUCER
5,263,WHAT WAS THE NAME OF THE LARGEST SHADOWREALM DETENTION FORTRESS DURING THE KKSS WARS?,NOANSWER
5,264,WHAT IS THE LAST NAME OF THE SKYNAVIGATOR WHO WAS THE FIRST PERSON TO ORBIT AROUND THE ETHEREAL FOON?,NOANSWER
5,265,WHAT IS THE NAME OF THE MYSTICAL ACADEMY IN WICKTHER VALLEY FOR WHICH VALDRIC MOONSTRIDER PLAYED CRYSTALBALL?,NOANSWER
5,266,WHAT IS THE LAST NAME OF THE AUTHOR OF 'THE SORROWEQ AND THE STARLIGHT'?,NOANSWER
5,267,WHAT IS THE LAST NAME OF THE ARTIST WHO PAINTED 'ZELVONIAN TWILIGHT'?,NOANSWER
5,268,WHAT IS THE LAST NAME OF FLASH'S GIRLFRIEND IN THE COMIC STRIP 'FLASH GORDON'?,ARDEN
5,269,WHAT IS THE NAME OF THE FIRST MOVIE TO RECEIVE THE ACADEMY AWARD FOR BEST PICTURE?,WINGS
5,270,WHAT IS THE LAST NAME OF THE DISCOVERER OF THE VACCINATION FOR SMALLPOX?,JENNER
5,271,WHAT IS THE LAST NAME OF THE BOY IN THE BOOK 'TREASURE ISLAND'?,HAWKINS
5,272,WHAT IS THE LAST NAME OF THE BOXER WHO WON THE BOXING TITLE FROM JOHN L. SULLIVAN?,CORBETT
5,273,WHAT IS THE NAME OF THE PLAY IN WHICH ELWOOD P. DOWD IS A CHARACTER?,HARVEY
5,274,WHAT WAS THE NAME OF THE GOLDFISH IN THE STORY OF PINOCCHIO?,CLEO
5,275,WHAT IS THE LAST NAME OF THE MAN WHO WROTE THE SONG 'HOW DEEP IS THE OCEAN'?,BERLIN
5,276,WHAT IS THE LAST NAME OF THE MAN WHO IS REGARDED AS THE NATIONAL POET OF SCOTLAND?,BURNS
5,277,WHAT WAS THE LAST NAME OF BILLY THE KID?,BONNEY
